2019/08/11 15:40:11 [error] 24618#24618: *7717 readv() failed (104: Connection reset by peer) while reading upstream, client: 46.57.168.16, server: 68.183.94.131, request: "POST / HTTP/2.0", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 15:45:12 [error] 24618#24618: *7824 readv() failed (104: Connection reset by peer) while reading upstream, client: 5.155.77.84, server: 68.183.94.131, request: "POST / HTTP/2.0", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 15:46:43 [error] 24618#24618: *7841 readv() failed (104: Connection reset by peer) while reading upstream, client: 154.228.90.197, server: 68.183.94.131, request: "POST / HTTP/2.0", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 15:52:11 [error] 24618#24618: *7955 readv() failed (104: Connection reset by peer) while reading upstream, client: 152.201.48.237, server: 68.183.94.131, request: "POST / HTTP/2.0", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 15:57:14 [error] 24618#24618: *8032 readv() failed (104: Connection reset by peer) while reading upstream, client: 178.52.124.33, server: 68.183.94.131, request: "POST / HTTP/2.0", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 15:58:01 [error] 24618#24618: *8050 readv() failed (104: Connection reset by peer) while reading upstream, client: 41.240.2.173, server: 68.183.94.131, request: "POST / HTTP/2.0", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 16:14:28 [error] 24618#24618: *8370 readv() failed (104: Connection reset by peer) while reading upstream, client: 188.133.81.66, server: 68.183.94.131, request: "POST / HTTP/2.0", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 16:20:54 [error] 24618#24618: *8514 readv() failed (104: Connection reset by peer) while reading upstream, client: 203.110.242.24, server: 68.183.94.131, request: "POST / HTTP/2.0", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 16:23:47 [error] 24618#24618: *8565 readv() failed (104: Connection reset by peer) while reading upstream, client: 78.110.104.137, server: 68.183.94.131, request: "POST / HTTP/2.0", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 16:43:11 [error] 24618#24618: *8973 readv() failed (104: Connection reset by peer) while reading upstream, client: 41.210.147.22, server: 68.183.94.131, request: "POST / HTTP/2.0", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 16:43:42 [error] 24618#24618: *8982 readv() failed (104: Connection reset by peer) while reading upstream, client: 94.47.231.14, server: 68.183.94.131, request: "POST / HTTP/2.0", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 16:49:22 [error] 24618#24618: *9113 readv() failed (104: Connection reset by peer) while reading upstream, client: 102.87.46.218, server: 68.183.94.131, request: "POST / HTTP/1.1", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 16:57:57 [error] 24618#24618: *9277 readv() failed (104: Connection reset by peer) while reading upstream, client: 188.133.20.59, server: 68.183.94.131, request: "POST / HTTP/2.0", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 16:59:33 [error] 24618#24618: *9308 readv() failed (104: Connection reset by peer) while reading upstream, client: 5.0.7.107, server: 68.183.94.131, request: "POST / HTTP/2.0", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 17:00:27 [error] 24618#24618: *9319 readv() failed (104: Connection reset by peer) while reading upstream, client: 5.0.231.45, server: 68.183.94.131, request: "POST / HTTP/2.0", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 17:00:32 [error] 24618#24618: *9323 readv() failed (104: Connection reset by peer) while reading upstream, client: 94.47.121.86, server: 68.183.94.131, request: "POST / HTTP/2.0", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 17:00:55 [error] 24618#24618: *9334 readv() failed (104: Connection reset by peer) while reading upstream, client: 94.47.48.109, server: 68.183.94.131, request: "POST / HTTP/2.0", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 17:07:53 [error] 24618#24618: *9487 readv() failed (104: Connection reset by peer) while reading upstream, client: 151.254.111.225, server: 68.183.94.131, request: "POST / HTTP/2.0", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 17:13:59 [error] 24618#24618: *9625 readv() failed (104: Connection reset by peer) while reading upstream, client: 187.157.96.98, server: 68.183.94.131, request: "POST / HTTP/1.1", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 17:21:58 [error] 24618#24618: *9775 readv() failed (104: Connection reset by peer) while reading upstream, client: 90.153.164.33, server: 68.183.94.131, request: "POST / HTTP/2.0", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 17:25:34 [error] 24618#24618: *9842 readv() failed (104: Connection reset by peer) while reading upstream, client: 31.9.73.203, server: 68.183.94.131, request: "POST / HTTP/2.0", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 17:28:01 [error] 24618#24618: *9899 readv() failed (104: Connection reset by peer) while reading upstream, client: 94.47.79.180, server: 68.183.94.131, request: "POST / HTTP/2.0", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 17:30:01 [error] 24618#24618: *9938 readv() failed (104: Connection reset by peer) while reading upstream, client: 82.100.161.224, server: 68.183.94.131, request: "POST / HTTP/2.0", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 17:32:27 [error] 24618#24618: *9987 readv() failed (104: Connection reset by peer) while reading upstream, client: 95.212.177.125, server: 68.183.94.131, request: "POST / HTTP/2.0", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 17:38:06 [error] 24618#24618: *10118 readv() failed (104: Connection reset by peer) while reading upstream, client: 5.155.243.181, server: 68.183.94.131, request: "POST / HTTP/2.0", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 17:46:38 [error] 24618#24618: *10284 readv() failed (104: Connection reset by peer) while reading upstream, client: 197.156.103.116, server: 68.183.94.131, request: "POST / HTTP/2.0", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 17:55:53 [error] 24618#24618: *10483 readv() failed (104: Connection reset by peer) while reading upstream, client: 185.96.111.109, server: 68.183.94.131, request: "POST / HTTP/2.0", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 18:02:46 [error] 24618#24618: *10581 readv() failed (104: Connection reset by peer) while reading upstream, client: 194.5.162.60, server: 68.183.94.131, request: "POST / HTTP/2.0", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 18:07:21 [error] 24618#24618: *10674 readv() failed (104: Connection reset by peer) while reading upstream, client: 46.213.88.145, server: 68.183.94.131, request: "POST / HTTP/1.1", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 18:16:18 [error] 24618#24618: *10855 readv() failed (104: Connection reset by peer) while reading upstream, client: 192.15.21.61, server: 68.183.94.131, request: "POST / HTTP/2.0", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 18:27:17 [error] 24618#24618: *11101 readv() failed (104: Connection reset by peer) while reading upstream, client: 5.0.219.147, server: 68.183.94.131, request: "POST / HTTP/2.0", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 18:37:13 [error] 24618#24618: *11290 readv() failed (104: Connection reset by peer) while reading upstream, client: 178.52.183.217, server: 68.183.94.131, request: "POST / HTTP/2.0", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 18:49:20 [error] 24618#24618: *11554 readv() failed (104: Connection reset by peer) while reading upstream, client: 46.213.130.221, server: 68.183.94.131, request: "POST / HTTP/2.0", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 18:55:02 [error] 24618#24618: *11669 readv() failed (104: Connection reset by peer) while reading upstream, client: 197.156.95.72, server: 68.183.94.131, request: "POST / HTTP/2.0", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
2019/08/11 18:56:26 [error] 24618#24618: *11708 readv() failed (104: Connection reset by peer) while reading upstream, client: 5.0.151.99, server: 68.183.94.131, request: "POST / HTTP/2.0", upstream: "uwsgi://127.0.0.1:3031", host: "68.183.94.131"
